1296,106,15,"5","102.000","6.000","0.000"
1297,2526,15,"4","80.000","12.000","0.000"
1298,1089,15,"1","251.000","50.000","0.000"
1299,10088,15,"37","64.900","12.000","0.000"
1300,1098,15,"25","259.900","12.000","0.000"
1301,1099,15,"26","259.900","12.000","0.000"
1302,46,15,"18","59.000","12.000","0.000"
1303,2699,15,"14","125.000","27.000","0.000"
1304,1065,3,"299136","2.030","0.000","0.000"
1305,3853,3,"299121","4.350","0.000","0.000"
1306,10958,3,"299131","3.380","0.000","0.000"
1307,9625,3,"299143","4.500","0.000","0.000"
1308,9760,3,"299035","5.180","0.000","0.000"
